feature_1,feature_2,feature_3,target
37.454011884736246,37.92646856078981,30.888505004666268,256.6132588447129
95.07143064099162,31.443854653764816,23.323278206449494,426.81088795116096
73.1993941811405,22.38110465145311,31.900989255029817,366.51428973665753
59.86584841970366,42.551800788277944,33.05292872641912,368.13102205501195
15.601864044243651,37.38924690215517,32.7989522396552,158.93370980594722
15.599452033620265,16.504677573795654,35.40390362777311,107.43246886797743
5.8083612168199465,46.4370873797537,34.16961077274452,118.55272084991158
86.61761457749351,42.90148971692676,32.29590039614219,450.10826422210766
60.11150117432088,47.99199653167696,29.649171442706766,323.26383918319027
70.80725777960456,39.0287803355344,21.69519533242004,304.60349107450276
2.0584494295802447,34.536607837431596,32.14809109566293,134.21439043516256
96.99098521619943,26.729721451624755,31.038438435815557,501.81053674949067
83.24426408004217,47.309139334160534,31.357894185976868,432.85827143893664
21.233911067827616,44.642555580016335,23.616257120898453,219.99045494006805
18.182496720710063,11.808746804247576,24.594717297958688,126.19404204160755
18.34045098534338,11.054678979890081,35.26576426666452,136.7273414787002
30.42422429595377,25.058534675121983,29.802224230716725,224.28210280685147
52.475643163223786,42.422133231273314,33.40750348686312,311.36340915940826
43.194501864211574,49.49104517259778,30.141591880652307,302.0600425427121
29.122914019804192,16.016675644141127,30.148780697478728,187.22916655871535
61.18528947223795,33.7652286140854,34.69141902987999,317.0138375847474
13.949386065204184,25.23563426524086,27.41977635891313,165.22484303547913
29.214464853521815,48.79657591258413,30.480603884704916,241.1906907221668
36.63618432936917,43.684756925428346,27.688623556474788,238.23546535103986
45.606998421703594,43.533148188445516,27.82751886283842,301.8448152363714
78.51759613930136,28.74772639179881,28.454139382656802,352.5265488003617
19.967378215835975,26.592780093506608,31.110668858168566,170.44191616392018
51.42344384136116,20.93628287722825,27.606256891682612,263.0360296206394
59.24145688620425,12.255019866037085,36.278780627867604,313.42069892137994
4.645041271999773,44.588895050202126,25.52696348890248,155.593335607756
60.75448519014384,42.516040365203104,29.065641779193204,340.64556759607086
17.052412368729154,49.98870693144522,27.801344708629124,221.80703169639332
6.505159298527952,49.86547348295622,37.23488942176866,213.10652736884612
